service_id,date,exception_type
26,20160531,2
26,20160601,2
26,20160602,2
26,20160603,2
26,20160604,2
26,20160605,2
26,20160606,2
26,20160607,2
26,20160608,2
26,20160609,2
26,20160610,2
26,20160912,2
26,20160913,2
26,20160914,2
26,20160915,2
26,20160916,2
26,20160917,2
26,20160918,2
26,20160919,2
26,20160920,2
26,20160921,2
26,20160922,2
26,20160923,2
26,20160924,2
26,20160925,2
26,20160926,2
26,20160927,2
26,20160928,2
26,20160929,2
26,20160930,2
26,20161001,2
26,20161002,2
26,20161003,2
26,20161004,2
26,20161005,2
26,20161006,2
26,20161007,2
26,20161008,2
26,20161009,2
26,20161010,2
26,20161011,2
26,20161012,2
26,20161013,2
26,20161014,2
26,20161015,2
26,20161016,2
26,20161017,2
26,20161018,2
26,20161019,2
26,20161020,2
26,20161021,2
26,20161022,2
26,20161023,2
26,20161024,2
26,20161025,2
26,20161026,2
26,20161027,2
26,20161028,2
26,20161029,2
26,20161030,2
26,20161031,2
26,20161101,2
26,20161102,2
26,20161103,2
26,20161104,2
26,20161105,2
26,20161106,2
26,20161107,2
26,20161108,2
26,20161109,2
26,20161110,2
26,20161111,2
26,20161112,2
26,20161113,2
26,20161114,2
26,20161115,2
26,20161116,2
26,20161117,2
26,20161118,2
26,20161119,2
26,20161120,2
26,20161121,2
26,20161122,2
26,20161123,2
26,20161124,2
26,20161125,2
26,20161126,2
26,20161127,2
26,20161128,2
26,20161129,2
26,20161130,2
26,20161201,2
26,20161202,2
26,20161203,2
26,20161204,2
26,20161205,2
26,20161206,2
26,20161207,2
26,20161208,2
26,20161209,2
26,20161210,2
28,20151213,2
28,20151214,2
28,20151215,2
28,20151216,2
28,20151217,2
28,20151218,2
28,20151219,2
28,20151220,2
28,20151221,2
28,20151222,2
28,20151223,2
28,20151224,2
28,20151225,2
28,20151226,2
28,20151227,2
28,20151228,2
28,20151229,2
28,20151230,2
28,20151231,2
28,20160101,2
28,20160102,2
28,20160103,2
28,20160104,2
28,20160105,2
28,20160106,2
28,20160107,2
28,20160108,2
28,20160109,2
28,20160110,2
28,20160111,2
28,20160112,2
28,20160113,2
28,20160114,2
28,20160115,2
28,20160116,2
28,20160117,2
28,20160118,2
28,20160119,2
28,20160120,2
28,20160121,2
28,20160122,2
28,20160123,2
28,20160124,2
28,20160125,2
28,20160126,2
28,20160127,2
28,20160128,2
28,20160129,2
28,20160130,2
28,20160131,2
28,20160201,2
28,20160202,2
28,20160203,2
28,20160204,2
28,20160205,2
28,20160206,2
28,20160207,2
28,20160208,2
28,20160209,2
28,20160210,2
28,20160211,2
28,20160212,2
28,20160213,2
28,20160214,2
28,20160215,2
28,20160216,2
28,20160217,2
28,20160218,2
28,20160219,2
28,20160220,2
28,20160221,2
28,20160222,2
28,20160223,2
28,20160224,2
28,20160225,2
28,20160226,2
28,20160227,2
28,20160228,2
28,20160229,2
28,20160301,2
28,20160302,2
28,20160303,2
28,20160304,2
28,20160305,2
28,20160306,2
28,20160307,2
28,20160308,2
28,20160309,2
28,20160310,2
28,20160311,2
28,20160312,2
28,20160313,2
28,20160314,2
28,20160315,2
28,20160316,2
28,20160317,2
28,20160318,2
28,20160319,2
28,20160320,2
28,20160321,2
28,20160322,2
28,20160323,2
28,20160324,2
28,20160325,2
28,20160326,2
28,20160327,2
28,20160328,2
28,20160329,2
28,20160330,2
28,20160331,2
28,20160401,2
28,20160402,2
28,20160403,2
28,20160404,2
28,20160405,2
28,20160406,2
28,20160407,2
28,20160408,2
28,20160409,2
28,20160410,2
28,20160411,2
28,20160412,2
28,20160413,2
28,20160414,2
28,20160415,2
28,20160416,2
28,20160417,2
28,20160418,2
28,20160419,2
28,20160420,2
28,20160421,2
28,20160422,2
28,20160423,2
28,20160424,2
28,20160425,2
28,20160426,2
28,20160427,2
28,20160428,2
28,20160429,2
28,20160430,2
28,20160501,2
28,20160502,2
28,20160503,2
28,20160504,2
28,20160505,2
28,20160506,2
28,20160507,2
28,20160508,2
28,20160509,2
28,20160510,2
28,20160511,2
28,20160512,2
28,20160513,2
28,20160514,2
28,20160515,2
28,20160516,2
28,20160517,2
28,20160518,2
28,20160519,2
28,20160520,2
28,20160521,2
28,20160522,2
28,20160523,2
28,20160524,2
28,20160525,2
28,20160526,2
28,20160527,2
28,20160528,2
28,20160529,2
28,20160530,2
28,20160531,2
28,20160601,2
28,20160602,2
28,20160603,2
28,20160604,2
28,20160605,2
28,20160606,2
28,20160607,2
28,20160608,2
28,20160609,2
28,20160610,2
28,20160611,2
28,20160913,2
28,20160914,2
28,20160915,2
28,20160916,2
28,20160917,2
28,20160918,2
28,20160919,2
28,20160920,2
28,20160921,2
28,20160922,2
28,20160923,2
28,20160924,2
28,20160925,2
28,20160926,2
28,20160927,2
28,20160928,2
